clip_dir,label,video_id,center_frame,clip_start,clip_end,clip_length,punch_type,split
data/processed/clips/straight_V1_000195_v000001,0,V1.mp4,195,187,198,12,straight,train
data/processed/clips/hook_V1_000214_v000002,1,V1.mp4,214,206,217,12,hook,train
data/processed/clips/straight_V1_000234_v000003,0,V1.mp4,234,226,237,12,straight,train
data/processed/clips/straight_V1_000239_v000004,0,V1.mp4,239,231,242,12,straight,train
data/processed/clips/straight_V1_000348_v000005,0,V1.mp4,348,340,351,12,straight,train
data/processed/clips/straight_V1_001005_v000006,0,V1.mp4,1005,997,1008,12,straight,train
data/processed/clips/hook_V1_001019_v000007,1,V1.mp4,1019,1011,1022,12,hook,train
data/processed/clips/hook_V1_001051_v000008,1,V1.mp4,1051,1043,1054,12,hook,train
data/processed/clips/straight_V1_001076_v000009,0,V1.mp4,1076,1068,1079,12,straight,train
data/processed/clips/hook_V1_001111_v000010,1,V1.mp4,1111,1103,1114,12,hook,train
data/processed/clips/straight_V1_001122_v000011,0,V1.mp4,1122,1114,1125,12,straight,train
data/processed/clips/straight_V1_001184_v000012,0,V1.mp4,1184,1176,1187,12,straight,train
data/processed/clips/straight_V1_001231_v000013,0,V1.mp4,1231,1223,1234,12,straight,train
data/processed/clips/hook_V1_001238_v000014,1,V1.mp4,1238,1230,1241,12,hook,train
data/processed/clips/hook_V1_001358_v000015,1,V1.mp4,1358,1350,1361,12,hook,train
data/processed/clips/straight_V1_001386_v000016,0,V1.mp4,1386,1378,1389,12,straight,train
data/processed/clips/hook_V1_001392_v000017,1,V1.mp4,1392,1384,1395,12,hook,train
data/processed/clips/straight_V1_001420_v000018,0,V1.mp4,1420,1412,1423,12,straight,train
data/processed/clips/hook_V1_001425_v000019,1,V1.mp4,1425,1417,1428,12,hook,train
data/processed/clips/straight_V1_001452_v000020,0,V1.mp4,1452,1444,1455,12,straight,train
data/processed/clips/straight_V1_001470_v000021,0,V1.mp4,1470,1462,1473,12,straight,train
data/processed/clips/hook_V1_001525_v000022,1,V1.mp4,1525,1517,1528,12,hook,train
data/processed/clips/hook_V1_001559_v000023,1,V1.mp4,1559,1551,1562,12,hook,train
data/processed/clips/straight_V1_001571_v000024,0,V1.mp4,1571,1563,1574,12,straight,train
data/processed/clips/straight_V1_001582_v000025,0,V1.mp4,1582,1574,1585,12,straight,train
data/processed/clips/straight_V1_001604_v000026,0,V1.mp4,1604,1596,1607,12,straight,train
data/processed/clips/hook_V1_001624_v000027,1,V1.mp4,1624,1616,1627,12,hook,train
data/processed/clips/straight_V1_001942_v000028,0,V1.mp4,1942,1934,1945,12,straight,train
data/processed/clips/straight_V1_002038_v000029,0,V1.mp4,2038,2030,2041,12,straight,train
data/processed/clips/straight_V1_002076_v000030,0,V1.mp4,2076,2068,2079,12,straight,train
data/processed/clips/straight_V1_002082_v000031,0,V1.mp4,2082,2074,2085,12,straight,train
data/processed/clips/straight_V1_002094_v000032,0,V1.mp4,2094,2086,2097,12,straight,train
data/processed/clips/hook_V1_002116_v000033,1,V1.mp4,2116,2108,2119,12,hook,train
data/processed/clips/hook_V1_002183_v000034,1,V1.mp4,2183,2175,2186,12,hook,train
data/processed/clips/straight_V1_002229_v000035,0,V1.mp4,2229,2221,2232,12,straight,train
data/processed/clips/hook_V1_002249_v000036,1,V1.mp4,2249,2241,2252,12,hook,train
data/processed/clips/straight_V1_002262_v000037,0,V1.mp4,2262,2254,2265,12,straight,train
