sample_id,video_id,source_video_path,ann_row_index,start_frame,end_frame,duration_frames,class_raw,class_clean,class_id,split,skeleton_path,skeleton_index,skeleton_row_aligned,has_video,has_skeleton,quality_flag,notes
V1_00001,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,0,3314.0,3323.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,0,True,True,True,ok,
V1_00002,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,1,3324.0,3329.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,1,True,True,True,ok,
V1_00003,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,2,3330.0,3343.0,14.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,2,True,True,True,ok,
V1_00004,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,3,3344.0,3352.0,9.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,3,True,True,True,ok,
V1_00005,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,4,3353.0,3359.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,4,True,True,True,ok,
V1_00006,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,5,3360.0,3372.0,13.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,5,True,True,True,ok,
V1_00007,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,6,3373.0,3380.0,8.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,6,True,True,True,ok,
V1_00008,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,7,3381.0,3388.0,8.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,7,True,True,True,ok,
V1_00009,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,8,3389.0,3398.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,8,True,True,True,ok,
V1_00010,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,9,3401.0,3411.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,9,True,True,True,ok,
V1_00011,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,10,3412.0,3416.0,5.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,10,True,True,True,ok,
V1_00012,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,11,3417.0,3428.0,12.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,11,True,True,True,ok,
V1_00013,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,12,3431.0,3440.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,12,True,True,True,ok,
V1_00014,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,13,3441.0,3446.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,13,True,True,True,ok,
V1_00015,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,14,3447.0,3459.0,13.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,14,True,True,True,ok,
V1_00016,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,15,3461.0,3468.0,8.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,15,True,True,True,ok,
V1_00017,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,16,3469.0,3475.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,16,True,True,True,ok,
V1_00018,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,17,3476.0,3486.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,17,True,True,True,ok,
V1_00019,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,18,3489.0,3499.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,18,True,True,True,ok,
V1_00020,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,19,3500.0,3505.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,19,True,True,True,ok,
V1_00021,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,20,3506.0,3519.0,14.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,20,True,True,True,ok,
V1_00022,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,21,3520.0,3528.0,9.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,21,True,True,True,ok,
V1_00023,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,22,3529.0,3535.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,22,True,True,True,ok,
V1_00024,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,23,3536.0,3546.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,23,True,True,True,ok,
V1_00025,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,24,3548.0,3557.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,24,True,True,True,ok,
V1_00026,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,25,3558.0,3564.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,25,True,True,True,ok,
V1_00027,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,26,3565.0,3574.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,26,True,True,True,ok,
V1_00028,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,27,3577.0,3586.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,27,True,True,True,ok,
V1_00029,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,28,3587.0,3593.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,28,True,True,True,ok,
V1_00030,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,29,3594.0,3604.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,29,True,True,True,ok,
V1_00031,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,30,3606.0,3615.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,30,True,True,True,ok,
V1_00032,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,31,3616.0,3622.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,31,True,True,True,ok,
V1_00033,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,32,3623.0,3633.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,32,True,True,True,ok,
V1_00034,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,33,3635.0,3644.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,33,True,True,True,ok,
V1_00035,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,34,3645.0,3651.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,34,True,True,True,ok,
V1_00036,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,35,3652.0,3662.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,35,True,True,True,ok,
V1_00037,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,36,3664.0,3672.0,9.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,36,True,True,True,ok,
V1_00038,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,37,3673.0,3680.0,8.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,37,True,True,True,ok,
V1_00039,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,38,3681.0,3692.0,12.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,38,True,True,True,ok,
V1_00040,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,39,3693.0,3702.0,10.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,39,True,True,True,ok,
V1_00041,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,40,3703.0,3709.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,40,True,True,True,ok,
V1_00042,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,41,3710.0,3721.0,12.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,41,True,True,True,ok,
V1_00043,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,42,3722.0,3730.0,9.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,42,True,True,True,ok,
V1_00044,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,43,3731.0,3739.0,9.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,43,True,True,True,ok,
V1_00045,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,44,3740.0,3748.0,9.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,44,True,True,True,ok,
V1_00046,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,45,3749.0,3760.0,12.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,45,True,True,True,ok,
V1_00047,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,46,3761.0,3768.0,8.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,46,True,True,True,ok,
V1_00048,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,47,3769.0,3775.0,7.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,47,True,True,True,ok,
V1_00049,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,48,3777.0,3788.0,12.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,48,True,True,True,ok,
V1_00050,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,49,3789.0,3797.0,9.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,49,True,True,True,ok,
V1_00051,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,50,3798.0,3806.0,9.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,50,True,True,True,ok,
V1_00052,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,51,3807.0,3818.0,12.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,51,True,True,True,ok,
V1_00053,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,52,3819.0,3825.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,52,True,True,True,ok,
V1_00054,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,53,3826.0,3834.0,9.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,53,True,True,True,ok,
V1_00055,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,54,3837.0,3849.0,13.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,54,True,True,True,ok,
V1_00056,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,55,3850.0,3856.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,55,True,True,True,ok,
V1_00057,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,56,3857.0,3866.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,56,True,True,True,ok,
V1_00058,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,57,3868.0,3879.0,12.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,57,True,True,True,ok,
V1_00059,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,58,3880.0,3886.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,58,True,True,True,ok,
V1_00060,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,59,3887.0,3897.0,11.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,59,True,True,True,ok,
V1_00061,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,60,3899.0,3910.0,12.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,60,True,True,True,ok,
V1_00062,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,61,3911.0,3917.0,7.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,61,True,True,True,ok,
V1_00063,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,62,3918.0,3927.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,62,True,True,True,ok,
V1_00064,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,63,3930.0,3940.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,63,True,True,True,ok,
V1_00065,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,64,3941.0,3946.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,64,True,True,True,ok,
V1_00066,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,65,3947.0,3956.0,10.0,Cross,Cross,0,pending,data/raw/Skeleton_data/V1.npy,65,True,True,True,ok,
V1_00067,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,66,3959.0,3969.0,11.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,66,True,True,True,ok,
V1_00068,V1,/Users/krishna/dev/fightflow/data/downloaded-videos/V1.mp4,67,3970.0,3975.0,6.0,Jab,Jab,1,pending,data/raw/Skeleton_data/V1.npy,67,True,True,True,ok,
