video_id,source_file,row_index,start_frame,end_frame,class_raw,duration_inclusive,bad_reasons,is_bad
V1,V1.xlsx,0,3314.0,3323.0,Jab,10.0,,False
V1,V1.xlsx,1,3324.0,3329.0,Jab,6.0,,False
V1,V1.xlsx,2,3330.0,3343.0,Cross,14.0,,False
V1,V1.xlsx,3,3344.0,3352.0,Jab,9.0,,False
V1,V1.xlsx,4,3353.0,3359.0,Jab,7.0,,False
V1,V1.xlsx,5,3360.0,3372.0,Cross,13.0,,False
V1,V1.xlsx,6,3373.0,3380.0,Jab,8.0,,False
V1,V1.xlsx,7,3381.0,3388.0,Jab,8.0,,False
V1,V1.xlsx,8,3389.0,3398.0,Cross,10.0,,False
V1,V1.xlsx,9,3401.0,3411.0,Jab,11.0,,False
V1,V1.xlsx,10,3412.0,3416.0,Jab,5.0,,False
V1,V1.xlsx,11,3417.0,3428.0,Cross,12.0,,False
V1,V1.xlsx,12,3431.0,3440.0,Jab,10.0,,False
V1,V1.xlsx,13,3441.0,3446.0,Jab,6.0,,False
V1,V1.xlsx,14,3447.0,3459.0,Cross,13.0,,False
V1,V1.xlsx,15,3461.0,3468.0,Jab,8.0,,False
V1,V1.xlsx,16,3469.0,3475.0,Jab,7.0,,False
V1,V1.xlsx,17,3476.0,3486.0,Cross,11.0,,False
V1,V1.xlsx,18,3489.0,3499.0,Jab,11.0,,False
V1,V1.xlsx,19,3500.0,3505.0,Jab,6.0,,False
V1,V1.xlsx,20,3506.0,3519.0,Cross,14.0,,False
V1,V1.xlsx,21,3520.0,3528.0,Jab,9.0,,False
V1,V1.xlsx,22,3529.0,3535.0,Jab,7.0,,False
V1,V1.xlsx,23,3536.0,3546.0,Cross,11.0,,False
V1,V1.xlsx,24,3548.0,3557.0,Jab,10.0,,False
V1,V1.xlsx,25,3558.0,3564.0,Jab,7.0,,False
V1,V1.xlsx,26,3565.0,3574.0,Cross,10.0,,False
V1,V1.xlsx,27,3577.0,3586.0,Jab,10.0,,False
V1,V1.xlsx,28,3587.0,3593.0,Jab,7.0,,False
V1,V1.xlsx,29,3594.0,3604.0,Cross,11.0,,False
V1,V1.xlsx,30,3606.0,3615.0,Jab,10.0,,False
V1,V1.xlsx,31,3616.0,3622.0,Jab,7.0,,False
V1,V1.xlsx,32,3623.0,3633.0,Cross,11.0,,False
V1,V1.xlsx,33,3635.0,3644.0,Jab,10.0,,False
V1,V1.xlsx,34,3645.0,3651.0,Jab,7.0,,False
V1,V1.xlsx,35,3652.0,3662.0,Cross,11.0,,False
V1,V1.xlsx,36,3664.0,3672.0,Jab,9.0,,False
V1,V1.xlsx,37,3673.0,3680.0,Jab,8.0,,False
V1,V1.xlsx,38,3681.0,3692.0,Cross,12.0,,False
V1,V1.xlsx,39,3693.0,3702.0,Jab,10.0,,False
V1,V1.xlsx,40,3703.0,3709.0,Jab,7.0,,False
V1,V1.xlsx,41,3710.0,3721.0,Cross,12.0,,False
V1,V1.xlsx,42,3722.0,3730.0,Jab,9.0,,False
V1,V1.xlsx,43,3731.0,3739.0,Jab,9.0,,False
V1,V1.xlsx,44,3740.0,3748.0,Cross,9.0,,False
V1,V1.xlsx,45,3749.0,3760.0,Jab,12.0,,False
V1,V1.xlsx,46,3761.0,3768.0,Jab,8.0,,False
V1,V1.xlsx,47,3769.0,3775.0,Cross,7.0,,False
V1,V1.xlsx,48,3777.0,3788.0,Jab,12.0,,False
V1,V1.xlsx,49,3789.0,3797.0,Jab,9.0,,False
V1,V1.xlsx,50,3798.0,3806.0,Cross,9.0,,False
V1,V1.xlsx,51,3807.0,3818.0,Jab,12.0,,False
V1,V1.xlsx,52,3819.0,3825.0,Jab,7.0,,False
V1,V1.xlsx,53,3826.0,3834.0,Cross,9.0,,False
V1,V1.xlsx,54,3837.0,3849.0,Jab,13.0,,False
V1,V1.xlsx,55,3850.0,3856.0,Jab,7.0,,False
V1,V1.xlsx,56,3857.0,3866.0,Cross,10.0,,False
V1,V1.xlsx,57,3868.0,3879.0,Jab,12.0,,False
