video_id,source_file,shape,ndim,dtype,min_val,max_val,pct_values_near_zero,num_events_dim0,annotation_num_rows,event_count_matches_annotation,dimension_interpretation,mean_zero_frame_rate_per_event,frac_events_over_half_zero_frames,frames_per_event,num_joints,coord_channels
V1,V1.npy,"(1866, 25, 17, 2)",4,float64,0.0,0.9898767259385851,60.047159699892816,1866,1866,yes,"dim0=1866 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.6004715969989282,0.8853161843515541,25,17,2
V10,V10.npy,"(152, 25, 17, 2)",4,float64,0.0,0.8356845431857639,52.473684210526315,152,152,yes,"dim0=152 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.5247368421052632,0.5921052631578947,25,17,2
V2,V2.npy,"(232, 25, 17, 2)",4,float64,0.0,0.7743662516276042,59.810344827586206,232,232,yes,"dim0=232 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.598103448275862,0.8017241379310345,25,17,2
V3,V3.npy,"(815, 25, 17, 2)",4,float64,0.0,1.0592322455512153,69.84049079754601,815,815,yes,"dim0=815 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.6984049079754601,0.9766871165644172,25,17,2
V4,V4.npy,"(560, 25, 17, 2)",4,float64,0.0,0.8576950073242188,69.39285714285714,560,560,yes,"dim0=560 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.6939285714285713,0.975,25,17,2
V5,V5.npy,"(598, 25, 17, 2)",4,float64,0.0,0.9867201063368055,65.95317725752508,598,598,yes,"dim0=598 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.6595317725752508,0.8745819397993311,25,17,2
V6,V6.npy,"(46497, 1, 17, 3)",4,float64,0.003947368264198304,46704.0,0.0,46497,804,no,"dim0=46497 (events), dim1=1 (frames per clip), dim2=17 (joints), dim3=3 (x,y,conf)",0.0,0.0,1,17,3
V7,V7.npy,"(195, 25, 17, 2)",4,float64,0.0,0.9770677354600694,46.42051282051282,195,195,yes,"dim0=195 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.46420512820512816,0.5384615384615384,25,17,2
V8,V8.npy,"(199, 25, 17, 2)",4,float64,0.0,1.0350240071614583,50.45226130653266,199,199,yes,"dim0=199 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.5045226130653266,0.5728643216080402,25,17,2
V9,V9.npy,"(149, 25, 17, 2)",4,float64,0.0,0.9052680121527777,59.22147651006712,149,149,yes,"dim0=149 (events), dim1=25 (frames per clip), dim2=17 (joints), dim3=2 (x,y)",0.5922147651006712,0.7583892617449665,25,17,2
